gid,x,y,z,cluster,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
356,-150.2,-1040.2,1207.2,67,12,3,8,216.1,0.6,2158.0,372.9
357,-462.7,-1012.9,136.7,45,11,2,9,183.3,0.5,2775.8,391.7
358,-393.0,-1033.9,591.4,47,11,1,10,170.7,0.4,2459.0,425.9
359,-487.4,-1027.7,94.6,45,10,1,9,232.9,0.5,2550.7,458.6
360,-155.4,-966.9,533.0,34,11,1,9,147.3,0.3,2763.5,451.2
361,-132.1,-918.8,930.5,66,7,2,5,226.3,0.6,1751.8,407.8
362,-628.8,-1122.9,605.6,16,8,1,7,198.9,0.4,1980.5,451.1
363,-674.2,-1144.6,577.2,8,10,3,7,183.3,0.4,2426.9,440.0
364,-608.0,-1009.9,391.3,0,8,1,7,159.2,0.4,1477.3,374.3
365,-145.0,-1070.8,994.5,55,9,2,7,159.4,0.4,1901.8,422.9
366,-81.8,-1018.8,418.4,38,10,3,7,194.7,0.4,2663.4,458.7
367,-680.5,-1173.2,221.1,6,12,2,9,155.3,0.4,2745.2,410.7
368,-430.6,-1030.1,76.4,45,10,3,7,135.1,0.4,1650.3,381.2
369,-174.4,-1047.3,802.5,13,11,3,8,185.9,0.4,2891.9,469.3
370,-625.8,-1105.7,92.4,50,8,1,7,190.0,0.4,1754.5,441.3
371,-278.4,-1106.7,911.3,61,10,2,8,151.0,0.3,2349.7,450.1
372,-72.2,-951.8,590.2,5,13,3,10,137.4,0.3,2915.0,403.3
373,-298.4,-1058.4,882.2,61,9,3,6,124.1,0.5,1826.6,274.2
374,-632.3,-1109.0,62.9,50,11,2,9,171.5,0.4,2146.0,443.9
375,-52.7,-1132.7,1034.1,35,12,1,11,98.2,0.4,1731.4,260.1
376,-139.1,-1082.2,1219.4,67,10,1,9,145.8,0.3,2146.8,463.3
377,-267.0,-1109.5,1266.1,33,11,2,9,82.7,0.2,1497.8,333.7
378,-746.4,-1096.9,314.1,14,10,3,7,115.1,0.4,1459.5,266.4
379,-32.0,-811.0,566.8,68,9,2,7,145.7,0.3,2665.9,432.9
380,-301.8,-937.2,550.6,41,10,1,9,149.7,0.4,1838.7,344.2
381,-731.4,-1183.1,293.8,14,10,1,9,214.8,0.5,2355.3,445.3
382,-40.1,-778.4,754.0,52,10,4,6,107.9,0.3,2325.2,415.3
383,-614.9,-1002.5,255.3,58,10,1,9,246.7,0.6,2012.5,438.0
384,-73.7,-824.6,853.3,18,11,2,9,159.6,0.4,2390.5,422.9
385,-232.2,-887.6,619.4,60,9,2,7,191.6,0.5,1747.0,363.2
386,-68.0,-1073.3,979.2,55,10,4,6,152.3,0.4,1907.3,413.4
